project_id,project_type,state,district,land_area_hectares,affected_families,documentation_completeness,approval_progress,compensation_progress,legal_dispute_count,pending_notifications,ownership_conflict_count,rehabilitation_progress,stakeholder_responsiveness,department_coordination_score,possession_progress,current_stage,days_elapsed,target_duration_days
LA-00551,Urban Development,Karnataka,Mysuru,7.83,183,91.43,70.99,48.82,2,0,6,57.34,99.09,94.66,74.78,Notification,456,654
LA-01095,Irrigation,Karnataka,Belagavi,5.43,82,93.26,57.91,52.17,2,5,2,60.56,46.33,40.04,67.42,Valuation,266,460
LA-01793,Power,Tamil Nadu,Madurai,5.0,98,71.44,70.58,62.98,3,3,2,77.87,71.38,70.44,71.78,Valuation,336,544
LA-01860,Urban Development,Tamil Nadu,Madurai,5.0,105,90.91,69.92,100.0,2,1,5,62.8,82.51,67.55,87.68,Valuation,418,543
LA-02023,Urban Development,Maharashtra,Nagpur,44.25,146,94.72,57.06,52.92,3,1,2,54.97,86.57,82.63,66.49,Valuation,577,611
LA-02052,Power,Karnataka,Hubballi,5.99,67,54.3,76.9,71.68,1,2,0,46.19,66.07,96.21,86.84,Possession,404,476
LA-01913,Irrigation,Gujarat,Vadodara,15.48,148,89.21,47.9,73.6,6,1,3,27.72,42.22,95.17,75.61,Rehabilitation,477,644
LA-01282,Railway,Karnataka,Belagavi,5.0,17,94.25,72.02,100.0,0,0,1,42.99,50.82,76.93,71.22,Possession,395,566
LA-01033,Industrial,Maharashtra,Thane,5.0,74,82.78,50.21,95.29,0,1,0,50.74,32.58,88.16,66.75,Compensation,401,473
LA-02338,Industrial,Madhya Pradesh,Ujjain,21.07,118,74.88,70.02,50.72,2,3,3,22.12,86.39,60.97,42.37,Compensation,613,605
LA-01511,Railway,Gujarat,Rajkot,14.56,145,40.61,53.33,39.41,5,0,3,73.41,72.03,84.23,64.56,Notification,551,568
LA-00882,Irrigation,Telangana,Nizamabad,12.17,49,76.31,63.15,75.52,0,2,0,57.67,48.2,88.96,73.07,Valuation,309,440
LA-01426,Urban Development,Madhya Pradesh,Gwalior,13.44,25,97.76,71.48,22.34,1,3,2,62.03,36.6,83.95,58.48,Rehabilitation,305,338
LA-00379,Highway,Gujarat,Rajkot,14.25,46,83.82,75.93,49.99,1,3,1,68.35,89.46,73.94,61.31,Compensation,207,496
LA-01816,Irrigation,Uttar Pradesh,Prayagraj,6.65,61,83.85,76.82,80.24,2,2,0,83.69,100.0,50.61,83.35,Compensation,223,486
LA-01014,Highway,Uttar Pradesh,Agra,25.92,56,100.0,97.26,68.16,2,2,1,97.97,92.24,97.44,89.03,Valuation,331,548
LA-01533,Urban Development,Madhya Pradesh,Indore,5.0,150,100.0,83.48,73.71,5,5,2,44.9,76.36,64.87,79.36,Valuation,366,603
LA-00120,Urban Development,Karnataka,Belagavi,8.72,119,93.08,54.73,64.83,3,5,3,76.4,63.81,60.11,74.45,Possession,364,533
LA-00372,Railway,Rajasthan,Ajmer,14.52,111,58.55,74.93,92.58,0,2,2,39.35,50.24,100.0,72.85,Valuation,280,447
LA-00207,Highway,Maharashtra,Nashik,7.04,100,82.95,30.09,39.33,1,0,1,82.31,66.06,34.11,41.17,Valuation,302,481
LA-01238,Industrial,Telangana,Hyderabad,9.9,95,99.77,66.74,59.99,4,2,3,61.99,90.36,75.1,68.78,Notification,392,613
LA-01763,Industrial,Gujarat,Rajkot,5.0,53,100.0,100.0,75.02,0,4,1,68.42,81.35,87.7,79.85,Compensation,427,536
LA-01003,Power,Tamil Nadu,Chennai,5.0,36,89.14,41.94,59.57,0,2,0,91.86,62.53,61.47,74.38,Valuation,564,495
LA-02443,Railway,Karnataka,Belagavi,11.21,25,96.21,61.39,93.59,0,3,0,97.03,100.0,71.11,80.88,Rehabilitation,157,400
LA-02069,Urban Development,Madhya Pradesh,Bhopal,5.0,141,59.27,54.65,56.86,3,2,1,94.11,61.14,62.72,57.35,Compensation,327,489
LA-00361,Industrial,Maharashtra,Nagpur,17.15,94,74.14,78.0,100.0,4,0,0,17.68,50.07,15.44,69.7,Possession,253,461
LA-02485,Power,Madhya Pradesh,Indore,26.87,153,56.6,67.18,74.04,5,1,2,39.6,87.55,83.93,62.7,Rehabilitation,375,599
LA-01678,Industrial,Maharashtra,Thane,5.0,80,67.55,68.89,41.47,1,1,2,41.17,78.29,52.17,57.26,Valuation,461,568
LA-01350,Industrial,Telangana,Nizamabad,5.0,1,51.11,68.86,74.94,0,3,1,55.15,76.61,58.41,70.55,Compensation,366,444
LA-02398,Urban Development,Telangana,Khammam,17.57,100,67.78,81.28,27.78,3,2,2,43.87,90.1,64.49,67.62,Compensation,396,599
