project_id,project_type,state,district,land_area_hectares,affected_families,documentation_completeness,approval_progress,compensation_progress,legal_dispute_count,pending_notifications,ownership_conflict_count,rehabilitation_progress,stakeholder_responsiveness,department_coordination_score,possession_progress,current_stage,days_elapsed,target_duration_days,delay_status
LA-00001,Power,Maharashtra,Pune,10.99,76,89.01,100.0,58.85,0,3,2,54.38,58.73,61.62,75.34,Compensation,105,379,0
LA-00002,Railway,Madhya Pradesh,Bhopal,9.5,49,41.63,57.41,77.15,0,2,3,100.0,75.88,75.24,64.94,Notification,297,419,0
LA-00003,Power,Maharashtra,Thane,14.27,32,81.55,30.81,34.78,4,1,0,64.72,65.69,64.58,37.94,Rehabilitation,400,494,1
LA-00004,Highway,Gujarat,Ahmedabad,5.0,102,93.09,87.89,80.61,1,2,1,55.03,55.53,84.63,91.92,Valuation,394,511,0
LA-00005,Railway,Gujarat,Kutch,24.44,114,100.0,51.59,55.23,1,4,2,58.54,63.76,62.32,66.61,Valuation,469,607,0
LA-00006,Power,Telangana,Warangal,8.5,48,72.43,62.16,31.8,0,2,0,67.11,73.22,78.15,56.41,Rehabilitation,207,492,0
LA-00007,Urban Development,Karnataka,Bengaluru,5.0,74,79.02,100.0,59.77,0,3,1,67.24,51.96,94.91,90.35,Valuation,265,571,0
LA-00008,Power,Telangana,Nizamabad,15.46,93,69.44,38.99,65.51,3,1,3,34.5,77.47,74.09,66.56,Compensation,350,454,1
LA-00009,Railway,Madhya Pradesh,Jabalpur,20.9,56,88.5,94.34,68.98,0,1,0,80.34,71.5,48.1,85.21,Notification,428,573,0
LA-00010,Highway,Telangana,Hyderabad,5.0,119,85.02,86.44,100.0,1,6,1,54.11,52.93,52.67,88.2,Compensation,310,525,0
LA-00011,Irrigation,Karnataka,Bengaluru,5.0,7,70.41,87.13,68.71,2,1,1,30.1,89.15,70.92,75.09,Rehabilitation,292,551,0
LA-00012,Urban Development,Maharashtra,Aurangabad,5.0,99,100.0,81.42,88.98,3,1,2,82.9,81.03,62.54,84.51,Notification,281,490,1
LA-00013,Urban Development,Karnataka,Mangaluru,5.0,85,78.77,56.97,100.0,3,3,0,75.21,52.56,99.9,79.65,Compensation,372,518,0
LA-00014,Urban Development,Madhya Pradesh,Indore,20.35,189,95.55,39.61,53.35,0,1,2,90.41,53.85,53.32,61.32,Notification,181,358,0
LA-00015,Power,Madhya Pradesh,Jabalpur,25.39,160,75.82,60.69,65.29,3,1,5,100.0,81.74,71.28,75.34,Notification,356,583,1
LA-00016,Railway,Maharashtra,Aurangabad,5.1,49,92.44,77.14,48.76,2,4,0,81.59,74.15,57.95,78.01,Compensation,363,599,0
LA-00017,Industrial,Tamil Nadu,Coimbatore,21.0,96,89.59,63.79,71.13,4,5,1,56.88,26.2,100.0,71.78,Compensation,493,620,0
LA-00018,Irrigation,Madhya Pradesh,Jabalpur,8.7,59,81.94,41.04,33.04,2,2,0,42.76,63.73,57.72,47.15,Notification,567,590,1
LA-00019,Urban Development,Rajasthan,Ajmer,12.83,67,81.81,70.25,66.15,3,4,0,41.45,100.0,55.45,57.5,Valuation,201,500,0
LA-00020,Railway,Uttar Pradesh,Varanasi,8.33,1,84.16,81.43,85.35,0,2,0,77.81,97.53,91.23,80.19,Compensation,356,355,0
LA-00021,Power,Madhya Pradesh,Jabalpur,6.77,75,82.41,76.05,97.36,3,2,0,67.5,89.21,97.74,78.74,Notification,366,516,0
LA-00022,Railway,Gujarat,Rajkot,25.56,193,100.0,65.02,85.37,3,2,5,75.49,95.37,87.67,83.99,Rehabilitation,456,603,0
LA-00023,Irrigation,Maharashtra,Nashik,5.0,71,55.82,83.39,72.07,0,4,0,37.44,51.69,59.94,53.98,Possession,387,474,0
LA-00024,Power,Tamil Nadu,Coimbatore,7.64,47,81.64,67.75,59.14,0,1,1,74.74,83.15,58.72,49.41,Rehabilitation,350,529,0
LA-00025,Industrial,Uttar Pradesh,Kanpur,6.67,35,50.69,74.07,47.36,0,1,0,25.87,100.0,85.87,57.03,Compensation,448,560,0
LA-00026,Railway,Madhya Pradesh,Ujjain,11.37,66,66.64,97.91,35.19,2,1,0,14.07,86.83,63.13,53.3,Possession,331,470,0
LA-00027,Irrigation,Telangana,Khammam,6.1,36,68.19,85.11,75.02,2,2,0,36.54,73.6,20.66,58.92,Rehabilitation,238,483,1
